Week,Day,May_Day,Date,Total_Not,Whatsapp_Not,TT_Not,Other_Not
1,1,4,4-May,264,147,107,10
1,2,5,5-May,356,160,183,13
1,3,6,6-May,238,110,113,15
1,4,7,7-May,248,114,122,12
1,5,8,8-May,274,132,120,22
1,6,9,9-May,185,90,77,18
1,7,10,10-May,149,59,87,3
2,1,11,11-May,273,130,125,18
2,2,12,12-May,240,111,118,11
2,3,13,13-May,321,179,125,17
2,4,14,14-May,263,136,107,20
2,5,15,15-May,341,222,106,13
2,6,16,16-May,208,112,89,7
2,7,17,17-May,164,40,113,11
3,1,18,18-May,189,103,77,9
3,2,19,19-May,313,140,159,14
3,3,20,20-May,312,191,111,10
3,4,21,21-May,254,112,127,15
3,5,22,22-May,205,110,86,9
3,6,23,23-May,183,106,66,11
3,7,24,24-May,165,38,118,9
